batter,runs,balls,fours,sixes,strike_rate,cluster
RR Pant,3297,2296,298,154,143.59756097560975,2
RR Rossouw,473,321,45,25,147.35202492211837,1
RS Bopara,531,468,39,16,113.46153846153845,1
RV Uthappa,4954,3927,481,182,126.15227909345556,2
Rahmanullah Gurbaz,289,228,24,19,126.75438596491229,1
Rashid Khan,545,355,39,38,153.52112676056336,1
S Badrinath,1441,1245,154,28,115.74297188755021,0
S Dhawan,6769,5483,768,153,123.45431333211745,3
S Dube,1502,1077,86,101,139.46146703806872,0
S Sohal,368,311,34,18,118.32797427652733,1
SA Asnodkar,423,352,56,10,120.17045454545455,1
SA Yadav,3594,2522,385,130,142.50594766058683,2
SC Ganguly,1349,1326,137,42,101.73453996983409,1
SE Marsh,2489,1913,269,78,130.10977522216413,0
SK Raina,5536,4177,506,204,132.53531242518554,2
SK Warne,198,219,14,6,90.41095890410958,1
SM Curran,883,673,74,37,131.2035661218425,1
SN Khan,585,456,63,14,128.28947368421052,1
SN Thakur,307,228,27,13,134.64912280701756,1
SO Hetmyer,1243,854,76,82,145.5503512880562,1
SP Goswami,293,307,32,3,95.43973941368078,1
SP Narine,1534,984,164,97,155.8943089430894,0
SPD Smith,2495,1999,226,60,124.81240620310155,0
SR Tendulkar,2334,2044,296,29,114.18786692759295,0
SR Watson,3880,2892,377,190,134.1632088520055,2
SS Iyer,3131,2545,272,113,123.02554027504911,0
SS Tiwary,1494,1291,111,50,115.72424477149497,0
ST Jayasuriya,768,573,84,39,134.03141361256544,1
STR Binny,880,700,66,35,125.71428571428571,1
SV Samson,4419,3270,352,206,135.1376146788991,2
SW Billings,503,399,40,20,126.06516290726817,1
Shahbaz Ahmed,536,467,28,25,114.77516059957173,1
Shakib Al Hasan,795,665,73,21,119.54887218045114,1
Shashank Singh,423,272,33,25,155.51470588235296,1
Shubman Gill,3216,2432,310,95,132.23684210526315,0
T Stubbs,405,239,26,26,169.4560669456067,1
TH David,659,417,38,46,158.0335731414868,1
TL Suman,676,587,55,26,115.1618398637138,1
TM Dilshan,1153,1047,140,24,110.12416427889207,1
TM Head,772,458,76,40,168.5589519650655,1
Tilak Varma,1156,830,90,58,139.27710843373492,1
UBT Chand,300,314,32,9,95.54140127388536,1
UT Yadav,208,211,16,9,98.5781990521327,1
V Kohli,8014,6236,708,273,128.51186658114176,3
V Sehwag,2728,1833,334,106,148.82705946535734,0
V Shankar,1115,890,80,45,125.2808988764045,1
VR Iyer,1326,1000,121,61,132.6,1
VVS Laxman,282,271,33,5,104.0590405904059,1
WP Saha,2934,2368,296,87,123.90202702702702,0
Washington Sundar,378,341,32,9,110.85043988269794,1
Y Nagar,285,271,20,9,105.1660516605166,1
Y Venugopal Rao,985,865,77,37,113.87283236994219,1
YBK Jaiswal,1607,1095,199,64,146.7579908675799,0
YK Pathan,3222,2334,263,161,138.04627249357327,0
Yuvraj Singh,2754,2207,218,149,124.78477571363842,0
